,r,vobs
0,1.6293798259,-820.086871452
1,1.65034227377,217.510707116
2,2.05374502791,551.166129839
3,1.31648805513,-765.819921665
4,5.83677565011,266.418155566
5,4.67772895992,-84.3326581307
6,2.92318765277,469.767791484
7,6.61237728458,-925.442332557
8,2.29671638476,106.65793607
9,0.959063232567,-861.202055265
10,0.515267246246,-447.015985641
11,12.3907903034,-439.597319002
12,14.5171402746,64.9656359386
13,3.01017529311,-272.190515648
14,1.11765232487,230.293454613
15,2.74155933103,-1070.07363689
16,1.72276502142,305.421820589
17,1.00636493374,-223.623284776
18,7.82352011182,-156.523999643
19,1.85476388585,833.870493109
20,1.2264094226,-685.277199339
21,1.12212764139,479.859038199
22,0.633459637991,142.154664471
23,2.09578974656,613.309829208
24,1.52845695196,-52.0956454197
25,1.45339225178,442.021778732
26,0.502857303473,220.597575024
27,4.13658165296,291.715004154
28,2.40256603065,68.1643845734
29,2.13974289456,560.600152648
30,0.789553161419,890.872285668
31,46.0698819023,-60.1658694309
32,5.36406362888,27.8682477402
33,3.68659065256,228.093637525
34,2.49309843476,758.520572654
35,2.2669038434,503.073045924
36,3.20543588282,425.291019701
37,3.88216887416,-180.7384469
38,1.12105651684,-278.974559612
39,1.90666047369,341.887420204
40,2.87385228544,-171.744047993
41,1.44835680104,285.624860817
42,0.994852768454,-798.427691973
43,1.25622090684,514.972906762
44,0.991900843977,17.6331914218
45,1.53373786649,-251.515631927
46,1.06628870926,493.425680885
47,3.2921559235,430.144666799
48,1.53723306065,236.327724757
49,144.230053816,-179.335294111
50,1.22498419617,142.638953634
51,1.6752081779,294.026611077
52,1.5531981257,225.552964038
53,1.19040901564,-299.025347265
54,0.973147972621,-199.741349892
55,4.70841634361,364.575224563
56,1.1810851419,287.094453849
57,1.53590521565,-144.815445946
58,86.6122006412,-243.093964542
59,2.03811044606,-183.512331971
60,13.3430146248,188.836990553
61,1.09356897006,-562.965903335
62,2.79126327987,-42.5091606262
63,0.447046535951,237.734133349
64,1.76703846939,340.247491936
65,2.03244780596,-811.374043642
66,1.09258104958,130.374229491
67,1.36268564948,804.891929662
68,1.52922306356,181.339447819
69,3.70622562137,-856.75576415
70,1.94169973649,-335.020400373
71,1.15362053314,215.232441966
72,1.9402604616,-55.3224025734
73,1.1928351141,70.3834916421
74,0.760816422464,-132.057680283
75,7.62179540774,457.983495727
76,1.07949227772,-517.793332413
77,11.6672770505,483.0747624
78,1.09137338802,600.218583819
79,3.0318987475,283.143517387
80,0.276148912799,-87.0588596176
81,1.12282191291,443.981814805
82,1.3777087888,68.0884017716
83,2.08572631252,258.780771001
84,8.99178130084,-508.333001402
85,1.54132831465,385.036030506
86,6.31057027797,-12.4232217745
87,1.03782217187,351.160493764
88,8.51801411552,-415.259263284
89,0.814991043018,-370.994787054
90,1.00678394624,-457.593342324
91,9.98600395491,59.6261622421
92,2.76935801396,1065.19725519
93,1.59353102293,201.274089137
94,0.362442939784,107.768708608
95,5.80343465652,-632.542325561
96,1.21426216948,221.241397681
97,3.09745555574,514.302050727
98,0.742752101439,-274.886008664
99,3.25946023894,-576.027225249
100,1.18143440972,520.508029244
101,1.168320385,945.897082338
102,1.42611899262,-260.698306964
103,3.04997413092,-99.6780765663
104,1.03172752612,127.084823856
105,3.24086523686,631.810112767
106,1.46347822069,-24.6174220237
107,1.4482910625,439.904536498
108,3.06239230549,-522.682205453
109,1.1211425607,677.79927666
110,1.00850747619,283.601306363
111,3.81094623703,-791.279095442
112,1.04149312106,-36.3736099022
113,0.755779813444,-1402.73812489
114,0.759298545938,195.508173698
115,1.15122946122,-612.316490537
116,7.12479261405,465.657213179
117,2.08151929909,23.584294797
118,3.18352680071,371.372339018
119,0.950113527046,-863.908720426
120,0.752865319844,-1034.81222736
121,10.9339824583,290.900920008
122,1.07337961801,-302.348873406
123,23.3677806086,39.448095085
124,5.96668488797,304.60323768
125,0.518246829687,-486.647887107
126,0.979767916563,-208.059502643
127,2.28406700911,553.561584001
128,28.1177113042,32.6402666516
129,1.04682333372,576.507825079
130,1.03008045431,465.495378077
131,13.3252070073,-54.2211610631
132,4.38264782278,-164.255861298
133,2.55968697789,-1005.95192621
134,2.26993165059,-1033.51486883
135,3.76574262114,574.530021261
136,2.35246814141,731.633343768
137,1.16355488172,263.962475405
138,86.3062182971,-445.427557657
139,0.831544953162,1516.09270928
140,1.11520872465,1093.65777521
141,9.85277232009,-214.484988375
142,3.68771306299,172.976778212
143,1.06411393148,78.2269922515
144,2.45267551672,-670.309564865
145,1.08711657504,304.452196909
146,1.54029589605,151.930379281
147,1.03337293501,565.277932735
148,1.31418495389,-817.511476105
149,8.03065943058,-562.825309763
150,1.47549701818,-382.894751244
151,1.10028581233,-550.746764115
152,4.91816341052,44.4792776849
153,1.44512632297,114.323162858
154,0.461552548211,1304.42624226
155,1.77434643139,-281.046658537
